epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,10765.2,0.4815,0.40644,0.93953,0.91929,0.91505,0.94955,0.84669,0.50317,0.49796,0.95916,0.00029225,0.00029225,0.00029225
71,10873.5,0.42364,0.37818,0.89263,0.93042,0.90582,0.94739,0.8446,0.50189,0.5199,0.95991,0.0002675,0.0002675,0.0002675
72,10979.7,0.42243,0.36698,0.86985,0.93593,0.89024,0.94664,0.84352,0.50041,0.48867,0.95354,0.00024275,0.00024275,0.00024275
73,11087,0.41127,0.35664,0.87472,0.91803,0.90859,0.94829,0.84956,0.48479,0.48109,0.95287,0.000218,0.000218,0.000218
74,11202.4,0.41303,0.32982,0.86307,0.92247,0.88986,0.9508,0.8442,0.49193,0.47535,0.96159,0.00019325,0.00019325,0.00019325
75,11314.1,0.39843,0.3331,0.85773,0.92771,0.89474,0.94944,0.84732,0.49056,0.47404,0.95675,0.0001685,0.0001685,0.0001685
76,11422.5,0.37524,0.31488,0.84543,0.92294,0.8958,0.9512,0.84934,0.47888,0.48233,0.95213,0.00014375,0.00014375,0.00014375
77,11534.7,0.40014,0.33582,0.87023,0.91638,0.91074,0.94854,0.84875,0.47803,0.4766,0.94672,0.000119,0.000119,0.000119
78,11644,0.39456,0.3153,0.86662,0.93646,0.88366,0.94773,0.85383,0.4747,0.48054,0.94898,9.425e-05,9.425e-05,9.425e-05
79,11751.7,0.38179,0.30899,0.85976,0.9283,0.89656,0.9485,0.85508,0.46838,0.47348,0.94423,6.95e-05,6.95e-05,6.95e-05
80,11858.5,0.37538,0.3114,0.84332,0.93153,0.89474,0.94688,0.8564,0.46429,0.47266,0.94219,4.475e-05,4.475e-05,4.475e-05
