epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,5850.12,0.33861,0.25785,0.82157,0.94028,0.88846,0.94321,0.86593,0.42317,0.43498,0.87261,0.00010559,0.00010559,0.00010559
132,5889.35,0.32484,0.24763,0.82651,0.94685,0.88468,0.94526,0.86396,0.4242,0.43276,0.87014,9.73555e-05,9.73555e-05,9.73555e-05
133,5930.41,0.32777,0.2538,0.81722,0.94076,0.89614,0.94662,0.86286,0.42403,0.43468,0.87168,8.95213e-05,8.95213e-05,8.95213e-05
134,5971.99,0.32844,0.24782,0.82178,0.9449,0.89034,0.94638,0.86399,0.42391,0.43019,0.87413,8.20908e-05,8.20908e-05,8.20908e-05
135,6011.73,0.3256,0.24625,0.81532,0.94246,0.88741,0.94438,0.86149,0.42315,0.43905,0.8728,7.50674e-05,7.50674e-05,7.50674e-05
136,6052.05,0.31382,0.23969,0.80965,0.94587,0.86773,0.93507,0.85002,0.43369,0.44535,0.87278,6.8454e-05,6.8454e-05,6.8454e-05
137,6090.98,0.30884,0.23713,0.80688,0.94163,0.87133,0.93857,0.85609,0.42804,0.44588,0.87208,6.22537e-05,6.22537e-05,6.22537e-05
138,6131.4,0.30625,0.22878,0.79953,0.93262,0.88488,0.9428,0.86054,0.42443,0.42937,0.87207,5.64691e-05,5.64691e-05,5.64691e-05
139,6175.92,0.30515,0.23084,0.80276,0.94553,0.88713,0.94284,0.86191,0.42903,0.43345,0.87475,5.11027e-05,5.11027e-05,5.11027e-05
140,6216.8,0.29559,0.22251,0.79404,0.94026,0.8883,0.9421,0.86248,0.4252,0.44708,0.87293,4.61569e-05,4.61569e-05,4.61569e-05
141,6254.62,0.29743,0.22392,0.8014,0.93407,0.88939,0.94214,0.86148,0.42457,0.44914,0.87092,4.16339e-05,4.16339e-05,4.16339e-05
142,6295.67,0.29923,0.22468,0.79611,0.93879,0.89165,0.94124,0.86215,0.42606,0.43944,0.8723,3.75356e-05,3.75356e-05,3.75356e-05
143,6338.91,0.29936,0.22547,0.80436,0.94254,0.88865,0.93993,0.86197,0.42614,0.44017,0.87278,3.38639e-05,3.38639e-05,3.38639e-05
144,6380.21,0.29569,0.22449,0.8013,0.95321,0.88036,0.94473,0.86656,0.42485,0.44473,0.87122,3.06204e-05,3.06204e-05,3.06204e-05
145,6418.8,0.29599,0.21884,0.79594,0.95101,0.87633,0.9444,0.86511,0.42282,0.44187,0.87188,2.78064e-05,2.78064e-05,2.78064e-05
146,6456.88,0.29848,0.21861,0.79929,0.95345,0.87838,0.94501,0.86523,0.41832,0.43657,0.87054,2.54233e-05,2.54233e-05,2.54233e-05
147,6495.37,0.29477,0.22211,0.79821,0.95339,0.87727,0.9446,0.86406,0.41925,0.43798,0.87088,2.34721e-05,2.34721e-05,2.34721e-05
148,6535.57,0.30086,0.227,0.8026,0.95343,0.87808,0.94312,0.86347,0.42107,0.44116,0.87156,2.19535e-05,2.19535e-05,2.19535e-05
149,6574.93,0.29155,0.21876,0.80269,0.95801,0.88036,0.9423,0.86162,0.42134,0.44111,0.87151,2.08684e-05,2.08684e-05,2.08684e-05
150,6613.36,0.29551,0.21838,0.79542,0.95549,0.88036,0.94349,0.86164,0.42151,0.44087,0.87177,2.02171e-05,2.02171e-05,2.02171e-05
